avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
170.4816175,194.7553904,202.9004888,5.652772043,5.941666204,6.353540939,5.982659729,635,480,1.322916667,304800,50920,0.167060367,24,304800,0.161825726,0.283270277,0.845021885,0.117559524,0.248979592,0.952941176,1
208.8514797,217.2823983,227.1366306,3.354651402,3.666421758,3.707557874,3.576210345,635,480,1.322916667,304800,42470,0.13933727,24,304800,0.057572513,0.100948554,0.899421466,0,0,1,1
195.4979692,202.7030348,216.5420899,4.257944324,4.629037046,4.689966976,4.525649449,635,480,1.322916667,304800,53540,0.175656168,24,304800,0.140590971,0.138552215,0.860479607,0,0,1,1
193.5266667,199.1699442,208.8839665,4.419350407,4.819197924,4.859280639,4.699276323,635,480,1.322916667,304800,56935,0.186794619,24,304800,0.134172813,0.163719091,0.849966844,0,0,1,1
193.5266667,199.1699442,208.8839665,4.419350407,4.819197924,4.859280639,4.699276323,635,480,1.322916667,304800,56935,0.186794619,24,304800,0.134172813,0.163719091,0.849966844,0,0,1,1
193.6862697,193.8150459,197.6358005,5.505974676,5.57533117,5.437736636,5.506347494,635,480,1.322916667,304800,51618,0.169350394,24,304800,0.232480185,0.152334886,0.822679275,0.032051282,0.007968127,0.984313725,1
230.2181242,229.4126979,215.7107595,4.733833556,4.562538119,4.547473237,4.614614971,1771,1188,1.490740741,2103948,245275,0.116578452,24,2103948,0.166321263,0.07768461,0.904480885,0,0,0.996078431,1
193.5588323,200.9278673,205.4725264,4.168610377,4.330140995,4.43204233,4.310264568,871,638,1.365203762,555698,104896,0.188764401,24,555698,0.08687038,0.10337991,0.806283982,0,0,1,1
222.5158882,224.9468694,217.0620148,4.432704421,4.436093861,4.439532942,4.436110408,1771,1188,1.490740741,2103948,252518,0.120021027,24,2103948,0.199543793,0.141163322,0.91206906,0,0,1,1
189.0995581,191.0280877,181.0228917,5.50940944,5.431850899,5.463370557,5.468210299,1771,1188,1.490740741,2103948,268879,0.12779736,24,2103948,0.258974154,0.137501938,0.754847378,0.305555556,0.02745098,0.945098039,1
178.7656447,192.6920246,205.3768073,4.958843424,5.321842314,5.402190084,5.227625274,856,638,1.34169279,546128,88752,0.162511353,24,546128,0.105827492,0.180888744,0.806790271,0,0.012048193,0.988235294,1
194.2974742,200.1306415,208.6274848,5.042935742,5.331503369,5.424972589,5.266470566,856,638,1.34169279,546128,121943,0.223286482,24,546128,0.116970797,0.099326006,0.820412144,0,0,0.992156863,1
185.6095509,173.4384759,152.9249648,4.803444761,4.596373164,4.676178999,4.691998975,1200,900,1.333333333,1080000,130290,0.120638889,24,1080000,0.470940212,0.311034005,0.759835033,0.570621469,0.237903226,0.97254902,1
